hotel_name,address,dis_to_center_km,closest_metro_station,dis_to_closest_station_m,walk_time_to_closest_station_min,rating,stars
Лубянка Арт Отель,"Москва, Армянский пер., д. 3-5, стр. 1",1.3,Чистые Пруды,481.0,6,8.5,3
Гостиница Часы Лескова,"Москва, ул. Лескова, д. 22",15.8,Бибирево,1400.0,17,8.3,3
Апарт-отель Ye's Mitino,"Москва, ул. Митинская, д. 16",18.3,Волоколамская,844.0,10,8.1,nan
Отель Tesla,"Москва, пер. Последний, д. 18",1.9,Сухаревская,360.0,4,nan,3
Отель Оскар,"Москва, Холодильный переулок 3, корп 1, стр 8",5.0,Тульская,380.0,5,8.7,3
Хостел Астра на Басманной,"Москва, ул. Новая Басманная, д. 13/2, стр. 1",3.0,Красные Ворота,554.0,7,8.9,nan
Park Tower,"Москва, Дмитровское ш., д. 27",8.6,Тимирязевская,854.0,10,9.6,4
Отель Север-Сити,"Москва, ул. Паршина, д. 16",11.3,Щукинская,2300.0,28,9.3,3
Хостел Крыша,"Москва, Большой Златоустинский пер., д. 7",1.0,Китай,225.0,3,8.5,nan
Апарт-отель Axis Moscow,"Москва, ул. Арбат, д. 11",1.4,Арбатская,255.0,3,9.6,nan
Мини-отель Покровский,"Москва, ulitsa Svobody 1, korpus 1",13.1,Тушинская,923.0,11,9.4,2
Бутик-Отель Мастер Арбат,"Москва, пер. Сивцев Вражек, д. 45, стр. 1",2.3,Смоленская,398.0,5,9.4,4
Отель Покровка 6,"Москва, Ulitsa Pokrovka 6",1.5,Чистые Пруды,707.0,9,9.8,3
Гостиница Дэтоль,"Москва, ул. Большая Филевская, д. 51, корп. 3",9.4,Пионерская,526.0,6,9.4,3
Гостиница Часы Братеевская,"Москва, ул. Братеевская, д. 10, корп. 4",16.3,Алма,380.0,5,8.3,3
Хостел Есенин,"Москва, ул. Краснопрудная, д. 28",4.2,Красносельская,126.0,2,9.4,nan
Отель Chez Michel,"Москва, 13 Krasnaya Presnya Street, 5 floor",3.2,Краснопресненская,414.0,5,9.4,3
Гостиница Старая Москва,"Москва, ул. Маросейка, д. 13, стр. 2",1.2,Китай,380.0,5,9.3,3
Eden Hotel,"Москва, ул. Солянка, д. 1/2, стр. 1",1.1,Китай,537.0,6,9.6,3
Мини-отель Южный порт,"Москва, 2-й Южнопортовый пр-д, д. 5/1",7.0,Кожуховская,716.0,9,9.4,3
Апартаменты Tverskaya Apartment,"Москва, ул. 1-я Тверская-Ямская, д. 25 стр. 2",3.3,Белорусская,309.0,4,nan,nan
Отель Берси Арбат Отель,"Москва, ул. Новый Арбат, д. 16",1.8,Арбатская,639.0,8,7.4,2
